Fund type,Fund Name ,mean,Standard Deviation,Sharpe Ratio,Sortino Ratio,Beta,Alpha,Expense Ratio,R Square,Treynor Ratio,Lumpsum(Yes/No),SIP (Yes/No),1999-2001,2001-2003,2003-2005,2005-2007,2007-2009,2009-2011,2011-2013,2013-2015,2015-2017,2017-2018,2year  cgr,CAGR,DIFF
 Debt: Medium to Long Duration -,Aditya Birla Sun Life Income Fund  |  Invest Online,6.37,5.52,-0.01,-0.02,2.35,,1.60%,0.96,-0.03,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,Quant Income Fund,4.89,2.3,-0.68,-0.87,0.68,,2.25%,0.46,-2.28,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,Kotak Bond Fund - Regular Plan  |  Invest Online,6.03,5.17,-0.08,-0.13,2.2,,185.00%,0.96,-0.19,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,Reliance Income Fund  |  Invest Online,6.47,4.97,0,0.01,2.12,,156.00%,0.97,0.01,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,UTI Bond Fund - Regular Plan,7.11,4.52,0.15,0.31,1.85,,172.00%,0.32,0.79,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,Canara Robeco Income Fund - Regular Plan,6.55,4.11,0.03,0.05,1.72,,190.00%,0.93,0.06,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,LIC MF Bond Fund  |  Invest Online,5.55,3.62,-0.25,-0.41,1.53,,113.00%,0.94,-0.58,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,IDFC Bond Fund Income Plan - Regular Plan  | Invest Online,6.52,4.32,0.02,0.03,1.72,,177.00%,0.84,0.04,yes,yes,,,,,,,,,,,,,
 Debt: Medium to Long Duration -,Tata Income Fund - Regular Plan  |  Invest Online,6.21,3.7,-0.06,-0.11,1.54,,180.00%,0.91,-0.15,yes,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
short duration,JM Short Term Fund,6.99,1.82,0.3,0.45,4.22,9.72,,N.A,0,yes,yes,,,,,,,,,,,,,
short duration,UTI Short Term Income Fund - Regular Plan,7.39,1.63,0.58,0.99,3.96,9.56,88.00%,0.35,0.24,yes,yes,,,,,,,,,,,,,
short duration,HDFC Short Term Debt Fund  |  ,7.34,1.02,0.87,1.44,2.44,6.19,40.00%,0.34,0.37,yes,yes,,,,,,,,,,,,,
short duration,Essel Short Term Fund,6.11,1.06,-0.32,-0.51,2.63,5.37,125.00%,0.34,0.37,yes,yes,,,,,,,,,,,,,
short duration,Quant Short Term Debt Fund,7.22,0.31,2.48,3.78,0.76,2.42,100.00%,0.26,0.27,yes,yes,,,,,,,,,,,,,
short duration,Franklin India Short Term Income Plan - Retail Plan  | Invest Online Now,7.88,1.66,0.86,0.87,1.9,5.56,157.00%,0.08,0.75,yes,yes,,,,,,,,,,,,,
short duration,L&T Short Term Bond Fund Fund  |  Invest Online,6.85,1.4,0.29,0.43,3.39,7.76,81.00%,0.35,0.27,yes,yes,,,,,,,,,,,,,
short duration,Indiabulls Short Term Fund - Regular Plan,7.37,1.07,0.87,1.31,2.06,5.41,150.00%,0.22,0.45,yes,yes,,,,,,,,,,,,,
short duration,Baroda Pioneer Short Term Bond Fund,7.78,0.83,1.61,3.11,1.66,4.95,130.00%,0.24,0.81,yes,yes,,,,,,,,,,,,,
short duration,ICICI Prudential Short Term Fund  |  Invest Now,7.46,2.04,0.5,0.85,5.51,12.98,135.00%,0.43,0.33,yes,yes,,,,,,,,,,,,,
